"source","title","year","doi","match_por","estado_abstract","n_car_abstract","abstract","abstract_corpus"
"OVID","Psilocybin-assisted therapy in treatment-resistant depression:  rapid remission, uncertain durability, and the next phase of clinical evidence.",2026,"10.1097/ms9.0000000000005244",NA,"sin_crudo_emparejado",NA,NA,": Treatment-resistant depression (TRD) remains a major clinical challenge and is typically defined as the persistence of depressive symptoms despite at least two adequate antidepressant trials. Individuals with TRD experience substantial morbidity, impaired functioning, and elevated suicide risk, highlighting the need for therapeutic strategies beyond incremental refinements of conventional monoaminergic pharmacotherapy. Psilocybin-assisted therapy has recently emerged as a mechanistically distinct intervention, combining transient 5-HT2A receptor agonism with structured psychological support delivered in supervised sessions. Early randomized trials have demonstrated rapid reductions in depressive symptoms and encouraging short-term remission rates, primarily in patients with major depressive disorder, with more limited but emerging evidence in treatment-resistant populations. However, the central clinical question is not merely whether psilocybin can produce acute improvement, but whether these effects can be sustained without cumulative harm. Current evidence remains limited by modest sample sizes, relatively short follow-up periods, challenges in maintaining blinding, and limited comparisons with established TRD interventions such as esketamine, electroconvulsive therapy, and transcranial magnetic stimulation. The durability of benefit beyond several weeks remains an open clinical question, and the implications of repeated dosing are not yet well established. In addition, implementation demands substantial therapeutic infrastructure, raising questions regarding scalability, cost, and equitable access. Future research should prioritize standardized definitions of treatment resistance, recognition of clinical heterogeneity within TRD populations, longer-term outcomes, rigorous active comparators, improved trial methodology, safety monitoring, and cost-effectiveness analyses to determine the appropriate clinical role of psilocybin-assisted therapy., (C) 2026 by Lippincott Williams & Wilkins, Inc."
"OVID","The Relationship Between Participant Pretreatment Clinical Presentation and the Quality of Psilocybin Experience: A Retrospective Analysis.",2026,"10.1097/jcp.0000000000002119",NA,"sin_crudo_emparejado",NA,NA,"Purpose/Background: The therapeutic effects of psilocybin treatment are thought to be influenced by the subjective dose-dependent psychedelic experience, as well as the individual participant's mindset and the treatment environment. However, the relative contribution of an individual's pretreatment clinical characteristics and their subjective psychedelic experience remains unclear. We examined the relationship between pretreatment participant factors and the acute effects of COMP360 psilocybin., Methods/Procedures: Participants (N=233) with treatment-resistant depression received a single dose of 25, 10, or 1 mg of COMP360 psilocybin (a synthesized, pharmaceutical-grade, proprietary formulation of psilocybin, developed by the sponsor, Compass Pathfinder Ltd., a subsidiary of Compass Pathways plc: ClinicalTrials.gov, NCT03775200). The psychedelic experience was assessed by the Five-Dimensional Altered States of Consciousness questionnaire (5D-ASC) and Emotional Breakthrough Inventory (EBI). We used hierarchical regression to measure the relative contribution of pretreatment clinical characteristics (along the cognitive-affective, somatic, and functional impairment domains) in addition to the drug dose to the subjective psychedelic experience., Findings/Results: Dose was the strongest and most consistent predictor of the psychedelic experience. Some pretreatment characteristics contributed weakly to subjective experiences. Positive affect, lower generalized anxiety symptoms, higher executive functioning, and greater personality disorder symptoms had significant effects on different aspects of the subjective psychedelic experience., Implications/Conclusions: These findings challenge the assumption that pretreatment characteristics are major determinants of the acute psychedelic experience. While some traits may modestly modulate aspects of the experience, dose remains the largest driver., Copyright  (C) 2026  Wolters Kluwer Health, Inc. All rights reserved."
"OVID","An Open-Label Study of Single-Dose Psilocybin for Borderline Personality Disorder With Co-Occurring Major Depressive Disorder.",2026,"10.1097/wnf.0000000000000683",NA,"sin_crudo_emparejado",NA,NA,"Objectives: Borderline personality disorder (BPD) is often comorbid with major depressive disorder (MDD), and there has been a suggestion in the literature that this comorbidity may interfere with MDD treatment response. Our objective was to conduct a pilot study of psilocybin in adults with BPD and MDD., Methods: Adults aged 18 to 65 years with a DSM-5 diagnosis of MDD and BPD were enrolled in an open-label pilot study of a single dose of psilocybin. Assessments were conducted 1 week before dosing (baseline), on the dosing day (visit 2), and at 1, 2, and 4 weeks postdosing. The co-primary outcome measures were changes in depressive and BPD symptoms from baseline to study endpoint, and we used a paired-samples t test to examine changes in symptoms., Results: Nine participants (4 males; mean age=31.3 y) with MDD and BPD were enrolled. MDD symptoms significantly changed from baseline to visit 5: baseline (M=28.56, SD=4.53) and final visit (M=17.22, SD=10.39); t(8)=-4.217, P=0.003; Cohen d=1.41. BPD scores did not significantly change from baseline to study endpoint., Conclusions: This small open-label study resulted in statistically significant improvement in MDD symptoms but not for BPD symptoms. These findings, which await larger clinical trials, suggest that BPD does not appear to interfere with response to depressive symptoms., Copyright (C) 2026 Wolters Kluwer Health, Inc. All rights reserved."
"OVID","Psilocybin for Depression: Not Ready for Prime Time.",2026,"10.1056/clinjwna59987",NA,"sin_crudo_emparejado",NA,NA,"Clinical Takeaway: A randomized trial shows little to no benefit in treatment-resistant depression., Copyright (C) 2026 Massachusetts Medical Society. All rights reserved."
"OVID","Effect of psilocybin therapy on suicidal ideation, attempts, and deaths in people with psychiatric diagnoses:  a systematic review and meta-analysis.",2025,"10.1177/20451253251372449",NA,"sin_crudo_emparejado",NA,NA,"Background: Suicidal ideation, attempts, and deaths present a major and tragic public health concern. Recent trials of psilocybin therapy (PT) have shown promise in treating treatment-resistant depression and have found a reduction in suicidal ideation. Given the growth of PT research, there is a need to further understand its effect on suicidal ideation, attempts, and deaths., Objective: To assess and synthesize evidence on the effects of PT on suicidal ideation, attempts, and deaths in psychiatric patients., Design: PRISMA-compliant systematic review and meta-analysis., Data source: MEDLINE, EMBASE, Cochrane, and PsychINFO., Method: Databases were searched for randomized controlled trials of PT in adults with psychiatric diagnoses that reported suicide outcomes (ideation, attempts, and deaths). Abstract and full-text screening were conducted, and suicide outcomes were extracted. Meta-analysis was performed with a random effects model to assess changes in suicide outcomes compared to control through the standardized mean difference (SMD). Assessment of heterogeneity, risk of bias, and subgroup analysis was completed., Results: Nine studies were included (N = 593; 335 psilocybin & 258 control). Two studies were excluded from meta-analysis because suicide-related outcomes data were not available. Participants with PT experienced a small and significant decrease in suicidal ideation compared to control (k = 7, SMD = -0.24, 95% CI -0.42 to -0.06, p = 0.008, I 2 = 0%). There was no publication bias found. Subgroup analysis found no significant differences between groups. No study reported suicide attempts or suicide deaths. Two studies had a high risk of bias., Conclusion: Psilocybin therapy may reduce suicidal ideation in adults with psychiatric diagnoses. Current studies are limited by small sample size, lack of follow-up data, and assessment of blinding., Trial registration: CRD42023445706., (C)2025Sage Publications"
"OVID","Examining mystical experiences as a predictor of psilocybin-assisted psychotherapy for treatment-resistant depression.",2025,"10.1177/02698811251346697",NA,"sin_crudo_emparejado",NA,NA,"Background: Psilocybin-assisted psychotherapy (PAP) is a promising treatment for various psychiatric disorders. However, the exact biological and psychological mechanisms of action of PAP remain to be determined. Examining predictors of PAP outcomes may help identify necessary processes for positive treatment outcomes. Mystical experiences are considered a key aspect of the subjective effects of ingesting psilocybin. Mystical experiences have been observed to be possibly predictive of positive outcomes in psilocybin treatments. Therefore, some argue that mystical-type experiences are necessary to achieve therapeutic benefits., Aims: The current study examines mystical experiences as a predictor of antidepressant treatment outcomes in PAP, in a complex clinical sample., Methods: Participants included 31 individuals with a primary diagnosis of major depressive disorder (MDD) or Bipolar II Disorder (BDII), with treatment resistance to symptoms of their disorder. Participants had one, two, or three PAP treatments with a fixed dose of 25 mg of psilocybin. Depressive symptoms were measured at baseline, at a pre-dose visit and at 2 weeks post-dosing. The presence of mystical experiences was measured on the dosing day after the acute effects had resolved., Results: For the first psilocybin dose, participants with greater levels of mystical experiences exhibited a greater antidepressant effect from PAP. This effect was not found at the second or third doses., Conclusion: These results provide preliminary support for the hypothesis that mystical experiences have therapeutic importance in PAP and extend the literature to include a clinical sample of individuals with treatment-resistant depression in the context of MDD or BDII., (C)2025Sage Publications"
"OVID","Pharmacological Management of Anxiety in End-of-Life Care:  A Systematic Review of Benzodiazepines, Opioids, and Psilocybin.",2026,"10.1002/hup.70032",NA,"sin_crudo_emparejado",NA,NA,"Objective: Anxiety is common in patients receiving end-of-life care and significantly impacts their quality of life. However, pharmacological management remains challenging due to complex clinical presentations and potential side effects, emphasizing the need for systematically reviewing existing treatments. Here we aim to systematically evaluate the efficacy and safety of pharmacological treatments for anxiety in end-of-life care., Design: Systematic review following PRISMA guidelines, prospectively registered in PROSPERO (CRD42024556913). Comprehensive searches were performed in PubMed, Embase, Cochrane Library, and  ClinicalTrials.gov. Eligible studies included adults receiving end-of-life care and evaluated pharmacological interventions targeting anxiety., Results: Five studies met inclusion criteria: two assessing benzodiazepines combined with opioids and three evaluating psilocybin. Both benzodiazepine-opioid combinations and psilocybin reduced anxiety symptoms. Psilocybin studies reported rapid and sustained anxiety relief, with approximately 60%-80% of participants experiencing clinically significant improvements. Both treatment categories showed good tolerability without serious adverse events. However, the evidence base was limited by small sample sizes and narrow study contexts., Conclusions: Benzodiazepine-opioid combinations and psilocybin show promise for anxiety relief in end-of-life patients. Nevertheless, limited high-quality evidence highlights an important research gap. Further robust clinical trials are needed to confirm these findings and guide clinical practice in palliative care., (C) 2026 John Wiley & Sons, Ltd"
"OVID","Correction to ""Acceptability of psilocybin-assisted group therapy in patients with cancer and major depressive disorder:  Qualitative analysis"".",2025,"10.1002/cncr.70003",NA,"sin_crudo_emparejado",NA,NA,NA
"OVID","The safety of psilocybin-assisted psychotherapy:  A systematic review.",2025,"10.1177/00048674241289024",NA,"sin_crudo_emparejado",NA,NA,"Introduction: Psilocybin, a classical psychedelic, has been rescheduled for use in psilocybin-assisted psychotherapy for treatment-resistant depression in Australia. While evidence for its use is promising, understanding the associated risks is crucial. Accordingly, this review aims to collate adverse event data from psilocybin-assisted psychotherapy clinical trials and evaluate its definition, way of measurement and reporting., Methods: A systematic method was employed to identify clinical trials related to the use of psilocybin-assisted psychotherapy in clinical populations that reported on adverse events. The quality assessment focused on relevant criteria related to adverse event definition, monitoring and reporting methods., Results: A total of 24 articles were included. The studies reported heterogeneous psilocybin doses, study designs and indications. Physical and psychological adverse events during and after psilocybin sessions were examined, revealing variations in measuring, reporting methods and occurrences. The most common adverse events during and after sessions included elevated blood pressure, headaches, nausea, vomiting, fatigue and anxiety. In addition, both suicidal ideation and behaviour were observed infrequently and mainly in participants with a history of suicidal ideation or suicide attempt(s)., Conclusion: The review highlights the need to standardise the defintion of an adverse event, including how they are measured and reported, in psychedelic clinical trials to ensure consistent reporting across studies. In addition, screening participants for suicidality history and ongoing monitoring remains important, given the potential risk identified in the literature. However, based on the available data, the safety of psilocybin-assisted psychotherapy is generally supported, and no deaths were attributed to psilocybin. Nevertheless, cautious optimism is needed due to the preliminary nature and heterogeneity of the safety data., (C) 2025 Sage Publications"
"OVID","Psilocybin-assisted psychotherapy for Parkinson's disease without depression:  A case-report.",2025,"10.1177/1877718x241312604",NA,"sin_crudo_emparejado",NA,NA,"Background: Psychedelic assisted psychotherapy (PAP) can improve treatment-resistant depression. Its usefulness in Parkinson's disease (PD) is unknown. PD patients may have problems adjusting to their chronic progressive neurological disease. A change from emotional avoidance to acceptance has been reported following psilocybin administration in patients with treatment-resistant depression., Objective: To report for the first time the effect of psilocybin in a PD patient., Methods: A non-depressed 43-year-old female with a 2-year history of PD presented with difficulty adjusting to PD, anxious ruminations and pessimism. The patient declined an increase in dopaminergic medication or the introduction of an anxiolytic. Therapeutic patient education was not beneficial. The patient received four sessions of high-dose PAP within one year. Neurological and psychiatric assessments were performed before and at one year follow-up using qualitative interviews and quantitative assessment of motor status, dispositional optimism, depression, anxiety, apathy, and well-being., Results: PAP was well tolerated. It significantly improved the patient's overall pessimistic outlook on her future and decreased her anxious ruminations and worries about potential handicap due to PD. Her general well-being improved, as well as all psychometric scores except for the apathy scale. Motor status remained unchanged. Better acceptance of PD allowed her to accept pharmacological treatment adjustment., Conclusions: PAP could be a safe and useful treatment for PD patients with dispositional pessimism and difficulties accepting their disease by promoting profound decentration from habitual thoughts and emotions, improving mood and PD acceptance. Randomized, controlled studies are needed to confirm this result., (C)2025Sage Publications"
"OVID","Control group improvement lower in psilocybin trials for depression.",2025,"10.1002/pu.31371",NA,"sin_crudo_emparejado",NA,NA,NA
"OVID","The pharmacological treatment of anxiety in people with eating disorders: A systematic review.",2025,"10.1016/j.phrs.2025.107782",NA,"sin_crudo_emparejado",NA,NA,"People with eating disorders experience high rates of psychiatric comorbidities, including anxiety disorders such as generalised anxiety disorder, social anxiety disorder and specific phobias. Anxiety can influence the prognosis of an eating disorder, by worsening symptoms, and acting as a barrier to treatment. Therefore, targeting treatment efforts towards anxiety may improve eating disorder outcomes. The primary aim of this systematic review was to summarise the evidence base for the pharmacological treatment of anxiety symptoms in people with eating disorders. An electronic search of three databases (PubMed, Medline, and PsycInfo) was conducted. Papers were included if they investigated pharmacotherapy (antidepressants, antipsychotics, antianxiety, psychedelics, etc.) in eating disorder samples, with primary or secondary outcomes of anxiety. A total of 51 studies were included, and results were mixed across drug classes documenting both favourable and non-significant anxiety outcomes. There was evidence for the use of fluoxetine for anxiety in anorexia and bulimia nervosa, but not for binge eating disorder. Evidence for the use of olanzapine was documented for anxiety in AN, and preliminary case reports suggested its use in ARFID for anxiety symptoms. Preliminary evidence for developing pharmacological agents, such as psilocybin and ketamine, reported favourable outcomes in AN patients. More RCTs are required to explore efficacy and safety of pharmacological agents in treating anxiety in people with eating disorders., * People with EDs often experience anxiety as a comorbidity which can influence the prognosis of the ED., * There is positive, but preliminary, evidence for using fluoxetine in treating anxiety in anorexia and bulimia nervosa., * There is preliminary evidence for the use of novel drugs, like psilocybin, in treating anxiety in anorexia nervosa., * More RCTs are needed to explore efficacy and safety of pharmacological treatment for anxiety in EDs, (C) 2025Elsevier, Inc."
"OVID","Trial finds psilocybin improves symptoms in treatment-resistant depression.",2025,"10.1002/pu.31317",NA,"sin_crudo_emparejado",NA,NA,NA
"OVID","Control Group Outcomes in Trials of Psilocybin, SSRIs, or Esketamine for Depression: A Meta-Analysis.",2025,"10.1001/jamanetworkopen.2025.24119",NA,"sin_crudo_emparejado",NA,NA,"Importance: Psilocybin has demonstrated rapid and sustained antidepressant efficacy, with acute-phase effect sizes often more than double those for conventional antidepressants. However, concerns have been raised that high rates of functional unblinding in combination with trial participants with positive expectations of psychedelic use might bias treatment outcomes., Objective: To compare outcomes for patients receiving control treatments in randomized clinical trials of psilocybin for depression with control treatment outcomes from trials of selective serotonin reuptake inhibitors (SSRIs) and esketamine., Data Sources: Two previous meta-analyses and 1 US Food and Drug Administration review published between March 2019 and December 2024 were used to identify double-blind trials on adult major depressive disorder (MDD) or treatment-resistant depression (TRD) that had a relevant control treatment arm and used the Montgomery-Asberg Depression Rating Scale (MADRS) for symptom rating., Study Selection: Following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses reporting guideline, trials of psilocybin for MDD and TRD, esketamine for TRD, and a selective serotonin reuptake inhibitor (SSRI) for MDD were selected. Studies that included only individuals aged younger than 18 years or older than 65 years, used a crossover design, or had a duration less than 2 weeks were excluded., Data Extraction and Synthesis: All authors assessed the 3 reviews for includable trials. Three authors independently extracted data for all trials, with disagreements resolved by consensus discussion. Data were pooled using random-effects models., Main Outcomes and Measures: Standardized mean change (SMC) in MADRS scores from baseline to up to 6 weeks after randomization was used to assess within-group effect sizes, and standardized mean difference (SMD) was used to assess between-group effect sizes. Omnibus Test of Moderators (QM) was used to test whether the study population significantly moderated effect sizes., Results: The study included 17 trials: 4 of psilocybin (n = 373), 2 of esketamine (n = 573), and 11 of SSRIs (n = 4014). Pretreatment to posttreatment SMCs (SEMs) were 1.21 (0.15) for psilocybin, 1.28 (0.06) for SSRIs, and 1.43 (0.15) for esketamine and were 0.50 (0.15), 1.00 (0.08), and 1.12 (0.17) for their respective control treatments. Study population was a significant moderator of between-group SMDs (QM, 10.7; df, 2; P = .005) and pre- to post-control treatment SMCs (QM, 10.4; df, 2; P = .005) but not of pre- to post-active treatment SMCs (QM, 1.21; df, 2; P = .55). MADRS response rates for control treatments in SSRI trials were 14 percentage points higher than in psilocybin trials and in esketamine trials were 23 percentage points higher than in psilocybin trials. Dropout rates for psilocybin (active treatment: 10 of 186 [5%]; control: 20 of 187 [11%]) and esketamine (active treatment: 43 of 349 [12%]; control: 18 of 224 [8%]) were similar and considerably lower than for SSRIs (active treatment: 866 of 2694 [32%]; control: 467 of 1320 [35%])., Conclusions and Relevance: In this meta-analysis of control treatment outcomes in trials of psilocybin, SSRIs, or esketamine for depression, participants receiving control treatment in psilocybin trials had significantly less improvement in depression ratings than participants receiving control treatment in trials of SSRIs or esketamine. This might indicate that psilocybin's antidepressant efficacy is overestimated compared with that of SSRIs and esketamine., Copyright 2025 by the American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Restrictions Apply to Government Use.  American Medical Association, 515 N. State St, Chicago, IL 60610."
